,TYPE TEST,INPUT USER,EXPECTED RESULT,NOTES
0,CD,cd ../../../../../..,pwd : /,
1,CD,cd ~,pwd: ~,
2,CD,cd,pwd: ~,
3,CD,cd ~/Desktop,pwd: ~/Desktop,
4,CD,unset HOME - cd ~,"Error: HOME not set, EXIT 1",
5,CD,export HOME=/Users/user42 - cd ~,pwd: ~,
6,CD,cd .. cool swag,pwd: ../,
7,CD,cd Eyooooo,bash: cd: Eyooooo: No such file or directory - EXIT 1,"CHDIR sets the errno right, but bash does it differently"
8,CD,cd -,pwd: Last PWD,
9,CD,cd -,pwd: Last PWD,Do this one after row 10
10,CD,mkdir a - mkdir a/b - cd a/b - rm -r ../../a - cd ..,cd: error retrieving current directory: getcwd: cannot access parent directories: No such file or directory - EXIT 0,The exit 0 is from getcwd()
11,ECHO,echo,,Just a \n
12,ECHO,echo $NonExistingVar,,Just a \n
13,ECHO,echo $PATH,$PATH,
14,ECHO,echo ~,$HOME,
15,ECHO,echo -n -n -nnnn -nnnnm,-nnnnm,Without '\n'
16,ECHO,echo -n -nnn hello -n,hello -n,Without '\n'
17,ENV,env,All env and all user envs WITH content in it,Do export test1 & export test2=hi <- test1 should not show in env
18,ENV,env Weeiirrddd,env: weeirdd: No such file or directory - EXIT 127,
19,EXIT STATUS,cd Weyooo - echo $?,bash: cd: Weyooo: No such file or directory - EXIT 1,"CHDIR returns 2 to errno, but other functions return 1. Not your fault"
20,EXIT STATUS,random_cmd - echo $?,EXIT 127,
21,EXIT STATUS,./file_that_is_not_an_executable,bash: ./file_that_is_not_an_executable: Permission denied - EXIT 126,Fix it by using chmod
22,EXIT STATUS,cat bla,cat: bla: No such file or directory - EXIT 1,
23,EXIT STATUS,hi,bash: hi: command not found - EXIT 127,
24,EXIT STATUS,"export ls=""ls -l"" - $ls","Does what ""ls -l"" should do - EXIT 0",
25,EXIT STATUS,echo $ls,ls -l - EXIT 0,Do this after row 26
26,EXPORT,export var=a - export $var=test - echo $var $a,a test,
27,EXPORT,export $var=test - unset var,,
28,EXPORT,export test1 - env,"You will not see test1 in ""env"", but you will it in ""export""",declare -x test1
29,EXPORT,export test2= - env,"You will see test2 in ""env"" and ""export""","declare -x test2="""""
30,EXPORT,export var - export var=hoi - export,"var=""hoi""",Key is unique
31,EXPORT,"export """" test=a","minishell: export: "": not a valid identifier",
32,EXPORT,export test3=$HOME,"test3=""Users/user42""",
33,EXTRA,echo ~,/home/user42,
34,INIT,$SHLVL,Needs to increment once per new shell session,
35,PARSING,"""""",Error - EXIT 126 or EXIT 127,
36,PARSING,"echo ""\s"" ; echo ""\\s""",should have the exact same output,
37,PARSING,"echo ""12\""""","12""",
38,PARSING,"echo ""bip | bip ; coyotte > < """,[bip | bip ; coyotte >< ],
39,PARSING,echo \>,>,
40,PARSING,echo $USER$var$USER$USER$USERtest$USER,user42$USERuser42$USERtestuser42,
41,PARSING,echo bonjour \; ls,bonjour ; ls,
42,PARSING,$,command not found,
43,PARSING,$LESS$VAR,-R: command not found,
44,PARSING,..,"cmd not found, exit 127",
45,PARSING,"echo '""abc""'","""abc""",
46,PARSING,"echo """" bonjour",[ bonjour],
47,PARSING,"export ""test=ici""=coucou ; echo $test","test=""ici=coucou""",
48,PIPE,cat | cat | cat | ls,Press enter 3 times,
49,PIPE,cat Makefile | grep pr | head -n 5 | cd file_not_exit,file_not_exist: no such file... exit status: 1,
50,PIPE,cat Makefile | grep pr | head -n 5 | hello,hello: cmd not found... exit status: 127,
51,PIPE,ls | exit,,
52,REDIR,> test | echo blabla,blabla,"Creates a file called ""test"""
53,REDIR,exit > hoi.txt,Should exit & creates hoi.txt,
54,ENV,env | grep OLDPWD,Should exits,Open bash and open minishell immediately afterward
55,REDIR,cd .. > derp.txt,"Does not change dir, which should happen",
56,SIGNAL,cat - [ PRESS CTRL + C ],Should exit cat prompt - EXIT 130,
57,SIGNAL,cat - [ PRESS CTRL + \ ],Should exit cat prompt - EXIT 131,
58,SIGNAL,cat - [ PRESS CTRL + D ],Should exit cat prompt - EXIT 0,
59,REDIR,> file,Creates file,
60,REDIR,cat -e > test1 < test2,minishell: test2: No such file or directory - EXIT 1 or EXIT 2,"The function open() changes errno to 2, not 1. Test1 will be created"
61,REDIR,cat < test,minishell: test: No such file or directory - EXIT 1 or 2,"The function open() changes errno to 2, not 1. Test will not be created"
62,REDIR,echo 2 > out1 >> out2,"Both files are created, but out1 is empty, and out2 has ""2"" in it - EXIT 0",
63,REDIR,echo 2 >> out1 > out2,"Both files are created, but out1 is empty, and out2 has ""2"" in it - EXIT 0",
64,REDIR,echo test > file test1,= echo test test1 > file,
65,REDIR,Non_exist_cmd > salut,create file but error msg to STDERR,
66,,,,
67,ENV,unset all envs - env,Prints nothing,
68,ENV,unset all envs - export lol,"declare -x export=""lol""",
69,,,,
70,PIPES,Infinite file,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,SUBST,"export var=""  truc"" - echo $var | cat -e",[truc],Skip all spaces
80,SUBST,"export var=""truc  "" - echo $var | cat -e",[truc],Skip all spaces
81,SUBST,"echo ""$tests""""Makefile""",[Makefile],
82,SUBST,"echo ""$tests""Makefile",[Makefile],
83,SUBST,"echo ""$tests"" ""Makefile""",[ Makefile],
84,,,,
85,,,,
86,SUBST,export $var ($var does not exists),"Shows ""export""",
87,,,,
88,,,,
89,,,,
90,SUBST,"export test=""  foo    bar  "" ; echo $test",[foo bar],
91,SUBST,"export test=""  foo    bar  "" ; echo ab$test",[ab foo bar],
92,SUBST,"export test=""  foo    bar  "" ; echo ""ab""$test",[ab foo bar],
93,,,,
94,SUBST,SUBST,[ foo   bar ],
95,SUBST,"export test="" foo   bar "" ; echo """"$test""""",[ foo bar ],
96,SUBST,"export test="" foo   bar "" ; echo """"""$test""""""",[ foo   bar ],
97,SUBST,export var= s\ -la ; l$var,equivalent à ls -al,
98,SUBST,export var=at ; c$var Makefile,equivalent a cat Makefile,
99,SUBST,export loop='bonjour$loop' ; echo $loop,bonjour$loop,
100,SUBST & REDIR,"export test=""file1 file2"" ; >$test",$test: ambiguous redir,
101,SUBST & REDIR,"export test=""file1 file2"" ; >""$test""",[file1 file2] created,
102,SUBST & REDIR,"export test=""file1 file2"" ; >$test >hey","$test: ambiguous redir, hey n'est pas créé",
103,SUBST & REDIR,"export test=""file1 file2"" ; >hey >$test","$test: ambiguous redir, hey est créé",
104,SYNTHAX,|,"""synthax error"" & exit 2",
105,SYNTHAX,echo bonjour ; |,"""synthax error"" & exit 2",
106,SYNTHAX,echo bonjour > > out,"""synthax error"" & exit 2",
107,SYNTHAX,echo bonjour > $test,"""redirection ambigue"" & exit 1",
108,SYNTHAX,"echo bonjour > $test w/ test=""o1 o2""","""redirection ambigue"" & exit 1",
109,SYNTHAX,echo bonjour >>> test,"""synthax error"" & exit 2",
110,SYNTHAX,echo bonjour | |,"""synthax error"" & exit 2",
111,SYNTHAX,echo bonjour |;,"""synthax error"" & exit 2",
112,UNSET,unset PATH ; echo $PATH,\n,
113,UNSET,unset PATH ; ls,bash: ls: No such file or directory. Exit 127,
114,UNSET,"unset """" test",unset test et set $? à 1,
115,UNSET,unset =,erreur et set $? à 1,
116,UNSET,unset PWD,,
117,UNSET,unset var,var1 ne doit pas etre unset,
118,,export $var=s\ -la ; l$var,,
119,,/bin/echo bonjour,affiche bonjour,
120,,,,
121,SPECIAL CASES,cat wfeh | cat csijdsji | cat nfwir,,
